,Title,Synopsis,Original Language,Runtime,Director,Producer,Writer,Top Cast,Distributor,Production Co,Box Office (Gross USA),Tomato Meter,Audience Score,No. Reviews,Genre,Release Date (Theaters),Release Date (Streaming),Link
796,The Gentlemen,"Mickey Pearson is an American expatriate who became rich by building a highly profitable marijuana empire in London. When word gets out that he's looking to cash out of the business, it soon triggers an array of plots and schemes -- including bribery and blackmail -- from shady characters who want to steal his domain.", English, 1h 53m, Guy Ritchie," Guy Ritchie, Ivan Atkinson, Bill Block", Guy Ritchie,"['Matthew McConaughey', 'Michael Pearson', 'Charlie Hunnam', 'Ray', 'Michelle Dockery', 'Rosalind Pearson', 'Jeremy Strong', 'Matthew', 'Lyne Renee', 'Jackie', 'Colin Farrell', 'Coach']", STX Films, Toff Guy, $36.5M,75%,84%,278," Crime, Drama, Comedy"," Jan 24, 2020  Wide"," Mar 24, 2020",https://www.rottentomatoes.com/m/the_gentlemen
797,Ted 2012,"When John Bennett (Mark Wahlberg) was a little boy, he made a wish that Ted (Seth MacFarlane), his beloved teddy bear, would come alive. Thirty years later, foul-mouthed Ted is still John's constant companion, much to the chagrin of Lori (Mila Kunis), John's girlfriend. Though Lori's displeasure is exacerbated by the pair's constant consumption of beer and weed, she's not the one who's most disappointed with John; it may take the intervention of John's boyhood toy to help him grow up at last.", English, 1h 46m, Seth MacFarlane," Scott Stuber, Seth MacFarlane, John Jacobs, Jason Clark"," Seth MacFarlane, Alec Sulkin, Wellesley Wild","['Mark Wahlberg', 'John Bennett', 'Mila Kunis', 'Lori', 'Seth MacFarlane', 'Ted Voice', 'Joel McHale', 'Rex', 'Giovanni Ribisi', 'Donny', 'Patrick Warburton', 'Guy']", Universal Pictures," Fuzzy Door Productions, Smart Entertainment, Bluegrass Films", $218.6M,69%,73%,223," Comedy, Fantasy"," Jun 29, 2012  Wide"," Jul 21, 2015",https://www.rottentomatoes.com/m/ted_2012
798,Fargo,"""Fargo"" is a reality-based crime drama set in Minnesota in 1987. Jerry Lundegaard (William H. Macy) is a car salesman in Minneapolis who has gotten himself into debt and is so desperate for money that he hires two thugs (Steve Buscemi), (Peter Stormare) to kidnap his own wife. Jerry will collect the ransom from her wealthy father (Harve Presnell), paying the thugs a small portion and keeping the rest to satisfy his debts. The scheme collapses when the thugs shoot a state trooper.", English, 1h 37m, Joel Coen, Ethan Coen," Joel Coen, Ethan Coen","['Frances McDormand', 'Marge Gunderson', 'Steve Buscemi', 'Carl Showalter', 'William H. Macy', 'Jerry Lundegaard', 'Peter Stormare', 'Gaear Grimsrud', 'Harve Presnell', 'Wade Gustafson', 'John Carroll Lynch', 'Norm Gunderson']", Gramercy Pictures," Gramercy Pictures, PolyGram Filmed Entertainment", $24.5M,94%,92%,106," Comedy, Crime, Drama, Mystery & thriller"," Mar 15, 1996  Wide"," Aug 27, 2015",https://www.rottentomatoes.com/m/fargo
799,A Man Called Otto,"Based on the comical and moving New York Times bestseller, A Man Called Otto tells the story of Otto Anderson (Tom Hanks), a grumpy widower whose only joy comes from criticizing and judging his exasperated neighbors. When a lively young family moves in next door, he meets his match in quick-witted and very pregnant Marisol, leading to an unexpected friendship that will turn his world upside-down.", English, 2h 6m, Marc Forster," Fredrik Wikström, Rita Wilson, Tom Hanks, Gary Goetzman", David Magee,"['Tom Hanks', 'Otto Anderson', 'Mack Bayda', 'Malcolm', 'Mariana Treviño', 'Marisol', 'Rachel Keller', 'Sonya', 'Manuel Garcia-Rulfo', 'Tommy', 'Cameron Britton', 'Jimmy']", Columbia Pictures," Playtone, Columbia Pictures, SF Productions, Stage 6 Films, Sony Pictures", $64.1M,70%,97%,207," Comedy, Drama"," Jan 13, 2023  Wide"," Feb 28, 2023",https://www.rottentomatoes.com/m/a_man_called_otto
800,Charlie And The Chocolate Factory,"Based on the beloved Roald Dahl tale, this comedic and fantastical film follows young Charlie Bucket (Freddie Highmore) and his Grandpa Joe (David Kelly) as they join a small group of contest winners who get to tour the magical and mysterious factory of eccentric candy maker Willy Wonka (Johnny Depp). Aided by his diminutive Oompa Loompa workers (Deep Roy), Wonka has a hidden motivation for the tour, one that he will reveal only after the children in the group show their true colors.", English, 1h 55m, Tim Burton," Brad Grey, Richard D. Zanuck"," John August, Roald Dahl","['Johnny Depp', 'Willy Wonka', 'Freddie Highmore', 'Charlie Bucket', 'David Kelly', 'Grampa Joe', 'Helena Bonham Carter', 'Mrs. Bucket', 'Noah Taylor', 'Mr. Bucket', 'Missi Pyle', 'Mrs. Beauregarde']", Warner Bros. Pictures," Village Roadshow Pictures, Warner Bros., Zanuck Company, Plan B Films", $206.5M,83%,51%,230," Kids & family, Fantasy, Comedy"," Jul 15, 2005  Wide"," Jan 15, 2008",https://www.rottentomatoes.com/m/charlie_and_the_chocolate_factory
801,Cocaine Bear,"Inspired by the 1985 true story of a drug runner's plane crash, missing cocaine, and the black bear that ate it, this wild thriller finds an oddball group of cops, criminals, tourists and teens converging in a Georgia forest where a 500-pound apex predator has ingested a staggering amount of cocaine and gone on a coke-fueled rampage for more blow... and blood.", English, 1h 35m, Elizabeth Banks," Phil Lord, Chris Miller, Elizabeth Banks, Max Handelman, Brian Duffield, Aditya Sood, Matt Reilly, Christine Sun", Jimmy Warden,"['Keri Russell', 'Sari', ""O'Shea Jackson Jr."", 'Daveed', 'Christian Convery', 'Henry', 'Alden Ehrenreich', 'Eddie', 'Jesse Tyler Ferguson', 'Peter', 'Brooklynn Prince', 'Dee Dee']", Universal Pictures," Universal Studios, Lord Miller, Universal 1440 Entertainment, Brownstone Productions", $64.4M,66%,71%,319," Horror, Comedy"," Feb 24, 2023  Wide"," Mar 21, 2023",https://www.rottentomatoes.com/m/cocaine_bear
802,Adventureland,"It's the summer of 1987, and recent college grad James Brennan (Jesse Eisenberg) can't wait to begin his long-anticipated dream trip to Europe. Unfortunately, James' plans come to a screeching halt when his parents announce that they are unable to subsidize his trip. Forced to take a job at the local amusement park, James prepares for the worst summer ever, until he finds love with a captivating co-worker named Em (Kristen Stewart).", English, 1h 46m, Greg Mottola," Ted Hope, Anne Carey, Sidney Kimmel", Greg Mottola,"['Jesse Eisenberg', 'James Brennan', 'Kristen Stewart', 'Em Lewin', 'Martin Starr', 'Joel', 'Kristen Wiig', 'Paulette', 'Bill Hader', 'Bobby', 'Margarita Levieva', 'Lisa P.']", Miramax Films," This Is That Productions, Sidney Kimmel Entertainment", $16.0M,88%,61%,217," Comedy, Drama, Romance"," Apr 3, 2009  Wide"," Oct 8, 2016",https://www.rottentomatoes.com/m/adventureland
803,Forrest Gump,"Slow-witted Forrest Gump (Tom Hanks) has never thought of himself as disadvantaged, and thanks to his supportive mother (Sally Field), he leads anything but a restricted life. Whether dominating on the gridiron as a college football star, fighting in Vietnam or captaining a shrimp boat, Forrest inspires people with his childlike optimism. But one person Forrest cares about most may be the most difficult to save -- his childhood love, the sweet but troubled Jenny (Robin Wright).", English, 2h 22m, Robert Zemeckis," Wendy Finerman, Steve Starkey, Steve Tisch"," Winston Groom, Eric Roth","['Tom Hanks', 'Forrest Gump', 'Robin Wright', 'Jenny Curran', 'Gary Sinise', 'Lt. Dan Taylor', 'Mykelti Williamson', 'Pvt. Benjamin Buford ""Bubba"" Blue', 'Sally Field', 'Mrs. Gump', 'Rebecca Williams', 'Nurse at park bench']", Paramount Pictures, Paramount Pictures, $330.3M,71%,95%,108," Comedy, Drama"," Jul 6, 1994  Wide"," Aug 1, 2013",https://www.rottentomatoes.com/m/forrest_gump
804,Sideways,"Struggling writer and wine enthusiast Miles (Paul Giamatti) takes his engaged friend, Jack (Thomas Haden Church), on a trip to wine country for a last single-guy bonding experience. While Miles wants to relax and enjoy the wine, Jack is in search of a fling before his wedding. Soon Jack is sleeping with Stephanie (Sandra Oh), while her friend Maya (Virginia Madsen) connects with Miles. When Miles lets slip that Jack is getting married, both women are furious, sending the trip into disarray.", English, 2h 6m, Alexander Payne," Michael London, George Parra"," Rex Pickett, Alexander Payne","['Paul Giamatti', 'Miles Raymond', 'Thomas Haden Church', 'Jack Lopate', 'Virginia Madsen', 'Maya', 'Sandra Oh', 'Stephanie', 'Marylouise Burke', ""Miles' Mother"", 'Jessica Hecht', 'Victoria']", Fox," Fox Searchlight, Michael London Productions", $71.5M,97%,79%,232," Comedy, Drama"," Oct 22, 2004  Original"," Sep 2, 2014",https://www.rottentomatoes.com/m/sideways
805,The One I Love,"A couple (Mark Duplass, Elisabeth Moss) whose marriage is crumbling have a surreal experience during a weekend getaway at a house recommended by their therapist (Ted Danson).", English, 1h 31m, Charlie McDowell, Mel Eslyn, Justin Lader,"['Mark Duplass', 'Ethan', 'Elisabeth Moss', 'Sophie', 'Ted Danson', 'Therapist', 'Kiana Cason', 'Waitress', 'Kaitlyn Dodson', 'Diner Patron', 'Lori Farrar', 'Diner Patron']", Radius TWC, Duplass Brothers, $511.6K,82%,76%,95," Romance, Comedy, Fantasy"," Aug 22, 2014  Limited"," Aug 10, 2016",https://www.rottentomatoes.com/m/the_one_i_love
