Title,Runtime,Tomato Meter,Audience Score,No. Reviews,Genre,Embedding-0,Embedding-1,Embedding-2,Embedding-3,Embedding-4,Embedding-5,Embedding-6,Embedding-7,Embedding-8,Embedding-9,Embedding-10,Embedding-11,Embedding-12,Embedding-13,Embedding-14,Embedding-15,Embedding-16,Embedding-17,Embedding-18,Embedding-19
Ricky Gervais Humanity,78,0.47,0.89,15,Comedy,-0.0019610662,0.002510672,-0.0016444866,-0.0035202936,0.018059786,-0.017101701,-0.002336314,0.0029347695,0.0012464069,0.00048187134,0.008456657,-0.00436161,0.00038724192,0.017382417,0.009083619,-0.0043930714,-0.009296149,0.009457445,0.0003697697,-0.0036194907
Bo Burnham Inside,87,0.95,0.93,59,Comedy,-0.011785118,-0.01792631,-0.0025258947,-0.006534773,-0.009300386,0.0029463838,-0.010222634,-0.0022791685,0.006148162,-0.007922901,0.0056795394,0.0034850636,-0.004411813,0.0081624165,-0.012179055,9.1703605e-06,-0.0067965137,0.0013149346,0.004665318,-0.017246718
Norm Macdonald Nothing Special,86,1.0,0.86,10,Comedy,-0.006185376,-0.009798132,-0.0032215375,-0.0048499294,0.0036405013,-0.012660256,-0.02292821,0.016374303,0.013153195,0.001553645,0.011812575,-0.00086351356,0.0035654292,0.006222377,-0.01000908,0.011931716,-0.005754742,0.00012013912,-0.0036397788,-0.0022748746
John Mulaney Baby J,80,0.86,0.76,22,Comedy,0.0027288455,-0.016245734,0.009089931,0.012066008,0.0031609125,-0.012877929,0.010346813,0.005634131,0.0065293787,-0.008232748,0.0029585357,0.007041021,-0.0015945978,-0.0071200235,0.0055585178,0.01446937,-0.0065772785,-0.016760234,0.009838541,0.008701523
Nate Bargatze The Greatest Average American,60,1.0,0.91,5,Comedy,0.0014156323,0.016863894,0.009815959,0.004882927,-0.007837321,0.0021975376,-0.0073642097,0.00036024518,0.008137815,-0.0035606634,-0.012002989,-0.014928062,0.012215954,0.002033635,0.0004168853,0.001926578,0.012234735,-0.00846919,0.00911091,0.004945657
John Early Now More Than Ever,64,1.0,0.73,9,Comedy,-0.020150417,-0.004667185,-0.018639458,0.0014772074,0.0040438487,-0.0059744073,-0.012212267,0.0044075083,0.014953114,-0.004439571,0.002803668,-0.00521484,-0.0034209068,0.0089853825,-0.0016113579,0.016802136,0.0033639423,-0.0023066134,0.0011800828,-0.0073999874
Bill Burr Live At Red Rocks,82,0.67,0.88,6,Comedy,0.004096684,-0.020103188,-0.00059567543,0.0066950256,0.02218269,-0.021414949,0.004927662,-0.0044398615,0.010289562,-0.0051421695,-0.0033035544,-0.0031704977,-0.01229419,0.010791527,0.008897702,0.0063277134,-0.0066330237,-0.0030242545,-0.016711071,-0.0024656649
Chris Fleming Hell,69,0.8,0.8,5,Comedy,0.014668301,0.0031337559,0.0073648943,-0.0019329197,0.002791449,-0.00281248,0.010238776,-0.017264739,-0.0019553616,-0.009441501,-0.0065435767,0.0013250915,-0.007429847,-0.004138627,0.015209729,-0.015411894,-0.008114736,-0.0014405616,0.00067207665,-0.0013218841
Wanda Sykes Im An Entertainer,60,1.0,0.67,6,Comedy,-0.0023676422,-0.0118699735,0.0014270098,0.016425245,0.0019669733,-0.025249865,-0.006203863,-0.00979298,0.00688944,0.0016677566,0.018495448,0.0043372894,-0.002720848,0.0007389914,-0.015278563,0.0024894478,0.004151137,0.017252665,0.0006428979,-0.011894202
Jerrod Carmichael Rothaniel,60,1.0,0.82,17,Comedy,-0.00075670436,-0.012234333,0.0132077355,0.0019145474,-0.0014437914,-0.010969648,-0.00038093003,0.0007720053,0.002350501,-0.00504866,0.0058058323,-0.011030155,-0.0009681837,-0.01036601,-0.0009477191,-0.0077338056,-0.0033057001,0.011772795,0.009642805,0.011903353
Hannah Gadsby Douglas,72,0.93,0.66,29,Comedy,0.0008024577,-0.002770333,0.008209306,0.013162491,-0.009251185,-0.013300842,-0.0080084875,0.0042018285,0.012748602,0.0070932535,-0.004116658,0.0031842284,0.0024937964,0.007106498,-0.011361019,-0.007101701,0.00027280487,0.00035143495,-0.0059948238,-0.002546892
Hasan Minhaj The Kings Jester,68,0.86,0.8,7,Comedy,0.005384583,-0.0041525303,-0.0050077457,-0.00021313019,0.006658379,-0.031799093,0.004363379,0.01917639,-0.0111369435,0.0044250386,0.015969606,0.0028885999,0.012733476,-9.587481e-05,-0.0010566099,0.003035125,0.019755531,-0.006613138,-0.0079831695,-0.0034862715
