,Title,Synopsis,Original Language,Runtime,Director,Writer,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link
3839,Treasure Of The Sierra Madre,"In this classic adventure film, two rough-and-tumble wanderers, Dobbs (Humphrey Bogart) and Curtin (Tim Holt), meet up with a veteran prospector, Howard (Walter Huston), in Mexico and head into the Sierra Madre mountains to find gold. Although they discover treasure, they also find plenty of trouble, not only from ruthless bandits lurking in the dangerous Mexican wilderness but from their own insecurities and greed, which threaten to bring conflict at any moment.", English, 2h 4m, John Huston," B. Traven, John Huston","['Humphrey Bogart', 'Fred C. Dobbs', 'Walter Huston', 'Howard', 'Tim Holt', 'Bob Curtin', 'Bruce Bennett', 'James Cody', 'Barton MacLane', 'Pat McCormick', 'Alfonso Bedoya', 'Gold Hat']",100%,93%,55," Adventure, Western, Drama",https://www.rottentomatoes.com/m/treasure_of_the_sierra_madre
3840,Searchers,"In this revered Western, Ethan Edwards (John Wayne) returns home to Texas after the Civil War. When members of his brother's family are killed or abducted by Comanches, he vows to track down his surviving relatives and bring them home. Eventually, Edwards gets word that his niece Debbie (Natalie Wood) is alive, and, along with her adopted brother, Martin Pawley (Jeffrey Hunter), he embarks on a dangerous mission to find her, journeying deep into Comanche territory.", English, 1h 59m, John Ford," Alan Le May, Frank S. Nugent","['John Wayne', 'Ethan Edwards', 'Jeffrey Hunter', 'Martin Pawley', 'Natalie Wood', 'Debbie Edwards (older)', 'Vera Miles', 'Laurie Jorgensen', 'Ward Bond', 'Rev. Capt. Samuel Johnston Clayton', 'John Qualen', 'Lars Jorgensen']",94%,88%,54, Western,https://www.rottentomatoes.com/m/searchers
3841,Terror On The Prairie,"On the Montana plains, a frontier woman must protect herself against a ruthless gang of outlaws hellbent on revenge.", English, 1h 47m, Michael Polish, Josiah Nelson,"['Gina Carano', 'Hattie McAllister', 'Donald Cerrone', 'Jeb McAllister', 'Nick Searcy', 'Captain Miller', 'Tyler Fischer', 'Long Hair', 'Heath Freeman', 'Gold Teeth', 'Gabriel-Kane Day-Lewis', 'The Kid']",83%,82%,6," Western, Mystery & thriller, Action",https://www.rottentomatoes.com/m/terror_on_the_prairie
3842,Proposition,"In 1880s Australia, a lawman (Ray Winstone) offers renegade Charlie Burns (Guy Pearce) a difficult choice. In order to save his younger brother from the gallows, Charlie must hunt down and kill his older brother (Danny Huston), who is wanted for rape and murder. Venturing into one of the Outback's most inhospitable regions, Charlie faces a terrible moral dilemma that can end only in violence.", English, 1h 44m, John Hillcoat, Nick Cave,"['Guy Pearce', 'Charlie Burns', 'Ray Winstone', 'Capt. Stanley', 'Emily Watson', 'Martha Stanley', 'Danny Huston', 'Arthur Burns', 'John Hurt', 'Jellon Lamb', 'David Wenham', 'Eden Fletcher']",85%,85%,130," Drama, Action, Western",https://www.rottentomatoes.com/m/proposition
3843,Man Who Shot Liberty Valance,"Questions arise when Senator Stoddard (James Stewart) attends the funeral of a local man named Tom Doniphon (John Wayne) in a small Western town. Flashing back, we learn Doniphon saved Stoddard, then a lawyer, when he was roughed up by a crew of outlaws terrorizing the town, led by Liberty Valance (Lee Marvin). As the territory's safety hung in the balance, Doniphon and Stoddard, two of the only people standing up to him, proved to be very important, but different, foes to Valance.", English, 2h 2m, John Ford," James Warner Bellah, Willis Goldbeck, Dorothy M. Johnson","['James Stewart', 'Ransom Stoddard', 'John Wayne', 'Tom Doniphon', 'Vera Miles', 'Hallie Stoddard', 'Lee Marvin', 'Liberty Valance', ""Edmond O'Brien"", 'Dutton Peabody', 'Andy Devine', 'Marshal Link Appleyard']",95%,92%,55, Western,https://www.rottentomatoes.com/m/man_who_shot_liberty_valance
3844,For A Few Dollars More,"In the Wild West, a murderous outlaw known as El Indio (Gian Maria Volonte) and his gang are terrorizing and robbing the citizens of the region. With a bounty on El Indio's head, two bounty hunters, Monco (Clint Eastwood) and Col. Douglas Mortimer (Lee Van Cleef), come to collect the prize. Upon their first meeting, the two men view each other as rivals, but they eventually agree to become partners in their mutual pursuit of the vicious criminal.", Italian, 2h 12m, Sergio Leone, Fulvio Morsella,"['Clint Eastwood', 'Monco', 'Lee Van Cleef', 'Colonel Douglas Mortimer', 'Gian Maria Volonté', 'El Indio', 'Joseph Egger', 'Old Prophet', 'Mara Krup', 'Mary', 'Rosemary Dexter', ""Mortimer's sister (uncredited)""]",92%,94%,38, Western,https://www.rottentomatoes.com/m/for_a_few_dollars_more
3845,Dead Man,Circumstances transform a mild-mannered accountant (Johnny Depp) into a notorious Old West gunslinger., English, 2h 14m, Jim Jarmusch, Jim Jarmusch,"['Johnny Depp', 'William ""Bill"" Blake', 'Gary Farmer', 'Nobody', 'Lance Henriksen', 'Cole Wilson', 'Michael Wincott', 'Conway Twill', 'Mili Avital', 'Thel Russell', 'Crispin Glover', 'Train Fireman']",70%,88%,53, Western,https://www.rottentomatoes.com/m/dead_man
3846,1013077-Magnificent Seven,"A Mexican village is at the mercy of Calvera, the leader of a band of outlaws. The townspeople, too afraid to fight for themselves, hire seven American gunslingers to free them from the bandits' raids. The professional gunmen train the villagers to defend themselves, then plan a trap for the evil Calvera.", English, 2h 6m, John Sturges, William Roberts,"['Yul Brynner', 'Chris Larabee Adams', 'Eli Wallach', 'Calvera', 'Steve McQueen', 'Vin Tanner', 'Horst Bucholz', 'Chico', 'Charles Bronson', ""Bernardo O'Reilly"", 'Robert Vaughn', 'Lee']",89%,87%,46, Western,https://www.rottentomatoes.com/m/1013077-magnificent_seven
3847,1046060-High Noon,"Former marshal Will Kane (Gary Cooper) is preparing to leave the small town of Hadleyville, New Mexico, with his new bride, Amy (Grace Kelly), when he learns that local criminal Frank Miller has been set free and is coming to seek revenge on the marshal who turned him in. When he starts recruiting deputies to fight Miller, Kane is discouraged to find that the people of Hadleyville turn cowardly when the time comes for a showdown, and he must face Miller and his cronies alone.", English, 1h 25m, Fred Zinnemann," John W. Cunningham, Carl Foreman","['Gary Cooper', 'Marshal Will Kane', 'Grace Kelly', 'Amy Fowler Kane', 'Katy Jurado', 'Helen Ramirez', 'Thomas Mitchell', 'Mayor Jonas Henderson', 'Lloyd Bridges', 'Deputy Sheriff Harvey Pell', 'Otto Kruger', 'Judge Percy Mettrick']",94%,89%,89, Western,https://www.rottentomatoes.com/m/1046060-high_noon
3848,1059489-Wild Bunch,"In this gritty Western classic, aging outlaw Pike Bishop (William Holden) prepares to retire after one final robbery. Joined by his gang, which includes Dutch Engstrom (Ernest Borgnine) and brothers Lyle (Warren Oates) and Tector Gorch (Ben Johnson), Bishop discovers the heist is a setup orchestrated in part by his old partner, Deke Thornton (Robert Ryan). As the remaining gang takes refuge in Mexican territory, Thornton trails them, resulting in fierce gunfights with plenty of casualties.", English, 2h 22m, Sam Peckinpah," Walon Green, Roy N. Sickner, Sam Peckinpah","['William Holden', 'Pike Bishop', 'Ernest Borgnine', 'Dutch Engstrom', 'Robert Ryan', 'Deke Thornton', ""Edmond O'Brien"", 'Freddie Sykes', 'Warren Oates', 'Lyle Gorch', 'Jaime Sanchez', 'Angel']",91%,90%,66, Western,https://www.rottentomatoes.com/m/1059489-wild_bunch
3849,Little Big Man,"When a curious oral historian (William Hickey) turns up to hear the life story of 121-year-old Jack Crabb (Dustin Hoffman), he can scarcely believe his ears. Crabb tells of having been rescued and raised by the Cheyenne, of working as a snake-oil salesman, as a gunslinger, and as a mule skinner under Gen. Custer (Richard Mulligan). As if those weren't astonishing enough, he also claims to be the only white survivor of the infamous Battle of the Little Bighorn.", English, 2h 30m, Arthur Penn, Calder Willingham,"['Dustin Hoffman', 'Jack Crabb, Little Big Man', 'Faye Dunaway', 'Mrs. Pendrake', 'Chief Dan George', 'Old Lodge Skins', 'Martin Balsam', 'Mr. Merriweather', 'Richard Mulligan', 'Gen. George Armstrong Custer', 'Jeff Corey', 'Wild Bill Hickok']",91%,87%,80, Western,https://www.rottentomatoes.com/m/little_big_man
3850,Shanghai Noon,"Bumbling Chon Wang (Jackie Chan) works as an Imperial guard in the Forbidden City of China. When Princess Pei Pei (Lucy Liu) is taken hostage, Wang pursues her captors to the wild frontier land of Nevada, where he meets good-natured thief and occasional cowboy Roy O'Bannon (Owen Wilson). Using O'Bannon's love of money, Wang convinces him to help recover the princess, and together the two form a curious partnership -- the likes of which the West has never seen.", English, 1h 50m, Tom Dey," Miles Millar, Alfred Gough","['Jackie Chan', 'Chon Wang', 'Owen Wilson', ""Roy O'Bannon"", 'Lucy Liu', 'Princess Pei Pei', 'Roger Yuan', 'Lo Fong', 'Xander Berkeley', 'Marshall Nathan Van Cleef', 'Yu Rong-Guang', 'Imperial Guard']",80%,65%,134," Comedy, Action, Adventure, Western",https://www.rottentomatoes.com/m/shanghai_noon
3851,1022373-Unforgiven,"The Zachary family live quietly on a cattle ranch in post-Civil War Texas. A stranger (Joseph Wiseman) appears and disturbs their bucolic existence by spreading a malicious rumor that their adopted daughter, Rachel (Audrey Hepburn), is a Kiowa Native American. Soon, the Zachary brothers (Audie Murphy, Burt Lancaster) and their mother (Lillian Gish) must defend themselves from both racist whites and vengeful Kiowa.", English, 2h 5m, John Huston, Ben Maddow,"['Burt Lancaster', 'Ben Zachary', 'Audrey Hepburn', 'Rachel Zachary', 'Lillian Gish', 'Mattilda Zachary', 'Audie Murphy', 'Cash Zachary', 'John Saxon', 'Johnny Portugal', 'Charles Bickford', 'Zeb Rawlins']",60%,59%,5," Drama, Romance, Western",https://www.rottentomatoes.com/m/1022373-unforgiven
3852,Maverick,"This film update of the ""Maverick"" TV series finds the title cardsharp (Mel Gibson) hoping to join a poker contest with an impressive payoff. In order to enter, Maverick must first put up a large cash sum. He scams hopeful contestants Annabelle (Jodie Foster) and Angel (Alfred Molina) in a preliminary card game to win the money he needs, making enemies of both players. While trying to evade Annabelle and Angel, the crafty Maverick realizes a cunning marshal (James Garner) is also on his tail.", English, 2h 9m, Richard Donner, William Goldman,"['Mel Gibson', 'Bret Maverick', 'Jodie Foster', 'Annabelle Bransford', 'James Garner', 'Marshal Zane Cooper', 'Graham Greene', 'Joseph', 'James Coburn', 'Commodore Duvall', 'Alfred Molina', 'Angel']",68%,71%,56," Western, Comedy",https://www.rottentomatoes.com/m/maverick
3853,Damsel,"Samuel Alabaster, an affluent pioneer, ventures across the American frontier to marry the love of his life, Penelope. As his group traverses the West, the once-simple journey grows treacherous, blurring the lines between hero, villain and damsel.", English, 1h 53m," David Zellner, Nathan Zellner"," David Zellner, Nathan Zellner","['Robert Pattinson', 'Samuel', 'Mia Wasikowska', 'Penelope', 'David Zellner', 'Parson Henry', 'Nathan Zellner', 'Rufus Cornell', 'Robert Forster', 'Old Preacher', 'Joseph Billingiere', 'Zacharia']",68%,53%,118," Comedy, Western",https://www.rottentomatoes.com/m/damsel
3854,The Wind 2019,"Lizzy is a tough, resourceful frontierswoman settling a remote stretch of land on the 19th-century American frontier. Isolated from civilization in a desolate wilderness where the wind never stops howling, she begins to sense a sinister presence that seems to be borne of the land itself, an overwhelming dread that her husband dismisses as superstition. When a newlywed couple arrive at a nearby homestead, their presence amplifies Lizzy's fears, setting into motion a shocking chain of events.", English, 1h 26m, Emma Tammi, Teresa Sutherland,"['Caitlin Gerard', 'Lizzy Macklin', 'Julia Goldani Telles', 'Emma Harper', 'Ashley Zukerman', 'Isaac Macklin', 'Miles Anderson', 'The Reverend', 'Dylan McTee', 'Gideon Harper', 'Emma Tammi', 'Director']",81%,48%,70," Horror, Mystery & thriller, Western",https://www.rottentomatoes.com/m/the_wind_2019
3855,Pale Rider,"When property owner Coy LaHood (Richard Dysart) starts using a band of hooligans to terrorize a group of small-town gold miners into giving up their territory, an enigmatic man named ""Preacher"" (Clint Eastwood) arrives in town. Preacher fends off the attacks, and then goes directly to LaHood to negotiate. When the miners, led by Hull Barret (Michael Moriarty), refuse the terms, LaHood sends in Marshall Stockburn (John Russell) to take down Preacher and the others.", English, 1h 55m, Clint Eastwood," Michael Butler, Dennis Shryack","['Clint Eastwood', 'Preacher', 'Michael Moriarty', 'Hull Barret', 'Carrie Snodgress', 'Sarah Wheeler', 'Chris Penn', 'Josh LaHood', 'Richard Dysart', 'Coy LaHood', 'Sydney Penny', 'Megan Wheeler']",93%,83%,29, Western,https://www.rottentomatoes.com/m/pale_rider
3856,My Darling Clementine,"In the middle of a long cattle drive, Wyatt Earp (Henry Fonda) and his brothers stop off for a night in the town of Tombstone. The next morning they find their cattle stolen, and one of the brothers is dead. Earp suspects the Clanton family, owners of the O.K. Corral, but wants his revenge to be legal. He becomes sheriff of Tombstone and forges a rough peace with an alcoholic gambler, Doc Holiday (Victor Mature). Earp also takes a liking to Holiday's former girlfriend, Clementine (Cathy Downs).", English, 1h 37m, John Ford," Samuel G. Engel, Sam Hellman, Stuart N. Lake, Winston Miller","['Henry Fonda', 'Wyatt Earp', 'Linda Darnell', 'Chihuahua', 'Victor Mature', ""Dr. John 'Doc' Holliday"", 'Walter Brennan', 'Old Man Clanton', 'Cathy Downs', 'Clementine Carter', 'Tim Holt', 'Virgil Earp']",100%,86%,31, Western,https://www.rottentomatoes.com/m/my_darling_clementine
3857,Mccabe And Mrs Miller,"Charismatic gambler John McCabe (Warren Beatty) arrives in a mining community and decides to open a brothel. The local residents are impressed by his confident demeanor and fast talk, but crafty prostitute Constance Miller (Julie Christie) sees through McCabe's words and realizes he isn't as sharp as he seems. For a share in his profits, Mrs. Miller agrees to help plan and run McCabe's establishment, but soon a powerful company threatens to destroy what they have built up.", English, 2h 1m, Robert Altman," Robert Altman, Warren Beatty, Brian McKay, Edmund Naughton","['Warren Beatty', 'John McCabe', 'Julie Christie', 'Constance Miller', 'Rene Auberjonois', 'Sheehan', 'John Schuck', 'Smalley', 'Bert Remsen', 'Bart Coyle', 'Keith Carradine', 'Cowboy']",85%,86%,60, Western,https://www.rottentomatoes.com/m/mccabe_and_mrs_miller
3858,El Dorado,"Heartless tycoon Bart Jason (Edward Asner) hires a group of thugs to force the MacDonald family out of El Dorado so he can claim their land. J.P. Harrah, the town's sheriff, is too deep in the throes of alcoholism to help the family. When Harrah's friend, noble elder gunfighter Cole Thorton (John Wayne), learns of the predicament, he travels to El Dorado with his upstart friend, Mississippi (James Caan), to help Harrah clean up in time for a shootout against Jason's men.", English, 2h 6m, Howard Hawks, Leigh Brackett,"['John Wayne', 'Cole Thornton', 'Robert Mitchum', 'El Dorado Sheriff J.P. Harrah', 'James Caan', 'Mississippi', 'Arthur Hunnicutt', 'Bull', 'Ed Asner', 'Bart Jason', 'Michele Carey', 'Josephine ""Joey"" MacDonald']",96%,87%,25, Western,https://www.rottentomatoes.com/m/el_dorado
3859,Rio Bravo,"When gunslinger Joe Burdette (Claude Akins) kills a man in a saloon, Sheriff John T. Chance (John Wayne) arrests him with the aid of the town drunk, Dude (Dean Martin). Before long, Burdette's brother, Nathan (John Russell), comes around, indicating that he's prepared to bust his brother out of jail if necessary. Chance decides to make a stand until reinforcements arrive, enlisting Dude, an old cripple named Stumpy (Walter Brennan) and baby-faced cowboy Colorado Ryan (Ricky Nelson) to help.", English, 2h 21m, Howard Hawks," B.H. McCampbell, Jules Furthman, Leigh Brackett","['John Wayne', 'Sheriff John T. Chance', 'Dean Martin', 'Dude (""Borachón"")', 'Ricky Nelson', 'Colorado Ryan', 'Angie Dickinson', 'Feathers', 'Walter Brennan', 'Stumpy', 'Ward Bond', 'Pat Wheeler']",96%,91%,50, Western,https://www.rottentomatoes.com/m/rio_bravo
3860,Big Country,"Retiring to the American West to marry his fiancée, Patricia Terrill (Carroll Baker), Captain James McKay (Gregory Peck) enters a land-and-water feud between his future father-in-law, Major Terrill (Charles Bickford), and the rough and lawless Hannassey family, led by Rufus (Burl Ives). McKay prefers peace between himself and the Hannasseys, who repeatedly attempt to provoke violence. But his steadfast demeanor only angers his fiancé and Major Terrill, who won't settle for truces.", English, 2h 45m, William Wyler," James R. Webb, Sy Bartlett, Robert Wilder","['Gregory Peck', 'James McKay', 'Jean Simmons', 'Julie Maragon', 'Carroll Baker', 'Patricia Terrill', 'Charlton Heston', 'Steve Leech', 'Burl Ives', 'Rufus Hannassey', 'Charles Bickford', 'Maj. Henry Terrill']",100%,91%,13," Western, Romance, Drama",https://www.rottentomatoes.com/m/big_country
3861,True Grit,"After hired hand Tom Chaney (Jeff Corey) murders the father of 14-year-old Mattie Ross (Kim Darby), she seeks vengeance and hires U.S. Marshal ""Rooster"" Cogburn (John Wayne), a man of ""true grit,"" to track Chaney into Indian territory. As the two begin their pursuit, a Texas Ranger, La Boeuf (Glen Campbell), joins the manhunt in hopes of capturing Chaney for the murder of a Texas senator and collecting a substantial reward. The three clash on their quest of bringing to justice the same man.", English, 2h 8m, Henry Hathaway, Marguerite Roberts,"['John Wayne', 'Rooster Cogburn', 'Glen Campbell', 'La Boeuf', 'Kim Darby', 'Mattie Ross', 'Jeremy Slate', 'Emmett Quincy', 'Robert Duvall', 'Ned Pepper', 'Dennis Hopper', 'Moon']",88%,84%,56, Western,https://www.rottentomatoes.com/m/true_grit
3862,The Good The Bad The Weird,"In 1930s Manchuria, an encounter on a train triggers an epic crusade for a treasure map, prompting a marathon chase in hot pursuit of the loot. Do-won, ""The Good"", is a bounty hunter, out to track down Chang-yee, ""The Bad"", a charismatic hit man attempting to steal the map from a military official. However, the ruthless Tae-goo puts a hitch in both their plans when he secures the map for himself.", Japanese, 2h 7m, Kim Jee-woon," Kim Jee-woon, Kim Min-suk","['Song Kang-ho', 'Yun Tae-Goo, The Weird', 'Lee Byung-hun', 'Park Chang-Yi, The Bad', 'Jung Woo-sung', 'Park Do-Won, The Good', 'Ryu Seung-soo', 'Man-gil', 'Yoon Je-moon', 'Byeong-chun', 'Song Young-chang', 'Kim Pan-joo']",81%,83%,68," Western, Action",https://www.rottentomatoes.com/m/the_good_the_bad_the_weird
3863,Long Riders,"During a bank robbery by the legendary James-Younger Gang, Ed Miller (Dennis Quaid) impulsively kills a man, much to the displeasure of leader Jesse James (James Keach), who insists that the gang scatter until the heat is off. The groups of brothers go their separate ways, with Cole Younger (David Carradine) considering settling down with his feisty girlfriend, Belle Starr (Pamela Reed). But they soon regroup for an ill-fated bank job in Northfield, Minn., that results in an epic chase.", English, 1h 40m, Walter Hill," Bill Bryden, Steven Smith, James Keach, Stacy Keach","['David Carradine', 'Cole Younger', 'Keith Carradine', 'Jim Younger', 'Robert Carradine', 'Bob Younger', 'James Keach', 'Jesse James', 'Stacy Keach', 'Frank James', 'Dennis Quaid', 'Ed Miller']",81%,73%,27," Western, Biography",https://www.rottentomatoes.com/m/long_riders
3864,Hang Em High,"After a gang of men unsuccessfully attempts to lynch him for a cattle rustling crime he did not commit, Jed Cooper (Clint Eastwood) is saved by marshal Dave Bliss (Ben Johnson) and judge Adam Fenton (Pat Hingle). The lawmen offer him a job as a federal marshal with the caveat that he not abuse his new power to seek revenge against his tormentors. But, when Cooper finds that some of the men who attacked him are involved in another set of crimes, he fights to bring them to justice.", English, 1h 54m, Ted Post," Leonard Freeman, Mel Goldberg","['Clint Eastwood', 'Marshal Jed Cooper', 'Inger Stevens', 'Rachel Warren', 'Ed Begley', 'Capt. Wilson', 'Pat Hingle', 'Judge Fenton', 'Arlene Golonka', 'Jennifer', 'James MacArthur', 'The Preacher']",92%,73%,13, Western,https://www.rottentomatoes.com/m/hang_em_high
3865,1019774-Stagecoach,"John Ford's landmark Western revolves around an assorted group of colorful passengers aboard the Overland stagecoach bound for Lordsburg, New Mexico, in the 1880s. An alcoholic philosophizer (Thomas Mitchell), a lady of ill repute (Claire Trevor) and a timid liquor salesman (Donald Meek) are among the motley crew of travelers who must contend with an escaped outlaw, the Ringo Kid (John Wayne), and the ever-present threat of an Apache attack as they make their way across the Wild West.", English, 1h 36m, John Ford," Ernest Haycox, Dudley Nichols, Ben Hecht","['John Wayne', 'The Ringo Kid aka Henry', 'Claire Trevor', 'Dallas', 'Andy Devine', 'Buck', 'John Carradine', 'Hatfield', 'Thomas Mitchell', 'Dr. Josiah Boone', 'Louise Platt', 'Lucy Mallory']",100%,86%,47, Western,https://www.rottentomatoes.com/m/1019774-stagecoach
3866,Meeks Cutoff,"During the 1840s, six settlers and their guide are caught in a dangerous situation: They are lost, food and water are running out, and the surrounding desert threatens to claim them all. Meanwhile, their guide, Stephen Meek (Bruce Greenwood), refuses to acknowledge that they may be several weeks off-course. When a Native American (Rod Rondeaux) is captured, Emily Tetherow (Michelle Williams), one of the settlers, shields him from Meek's wrath, and he offers to lead the group to water in return.", English, 1h 41m, Kelly Reichardt, Jonathan Raymond,"['Michelle Williams', 'Emily Tetherow', 'Bruce Greenwood', 'Stephen Meek', 'Will Patton', 'Solomon Tetherow', 'Zoe Kazan', 'Millie Gately', 'Paul Dano', 'Thomas Gately', 'Shirley Henderson', 'Glory White']",86%,53%,133, Western,https://www.rottentomatoes.com/m/meeks_cutoff
3867,In A Valley Of Violence,"A mysterious drifter (Ethan Hawke) and his dog journey toward Mexico through the barren desert of the Old West. Hoping to shorten their trip, they cut through a large valley, landing in the forgotten town of Denton -- a place now known as a valley of violence. The once-popular mining town is nearly abandoned and controlled by a group of misfits and nitwits, including the seemingly untouchable Gilly (James Ransone), the troublemaking son of the town's difficult marshal.", English, 1h 44m, Ti West, Ti West,"['Ethan Hawke', 'Paul', 'John Travolta', 'Marshal', 'Taissa Farmiga', 'Mary-Anne', 'James Ransone', 'Gilly', 'Karen Gillan', 'Ellen', 'Toby Huss', 'Harris']",78%,51%,73, Western,https://www.rottentomatoes.com/m/in_a_valley_of_violence
3868,Misfits,"While filing for a divorce, beautiful ex-stripper Roslyn Taber (Marilyn Monroe) ends up meeting aging cowboy-turned-gambler Gay Langland (Clark Gable) and former World War II aviator Guido Racanelli (Eli Wallach). The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland (Montgomery Clift) arrives, the unlikely foursome strike up a business capturing wild horses.", English, 2h 4m, John Huston, Arthur Miller,"['Clark Gable', 'Gay Langland', 'Marilyn Monroe', 'Roslyn Taber', 'Montgomery Clift', 'Perce Howland', 'Thelma Ritter', ""Isabelle Steers, Roslyn's Landlady"", 'Eli Wallach', 'Guido aka Pilot', 'James Barton', ""Fletcher's Grand Father""]",97%,78%,31," Western, Drama",https://www.rottentomatoes.com/m/misfits
3869,The Rider,"After a riding accident leaves him unable to compete on the rodeo circuit, a young cowboy searches for a new purpose.", English, 1h 44m, Chloé Zhao, Chloé Zhao,"['Brady Jandreau', 'Brady Blackburn', 'Tim Jandreau', 'Wayne Blackburn', 'Lilly Jandreau', 'Lilly Blackburn', 'Lane Scott', 'Self', 'Cat Clifford', 'Self', 'Derrick Janis', 'Victor Chasinghawk']",97%,82%,191," Drama, Western",https://www.rottentomatoes.com/m/the_rider
3870,Django,Stranger Django (Franco Nero) rides into the middle of a border fray between Mexican bandits and the Ku Klux Klan., Italian, 1h 32m, Sergio Corbucci," Sergio Corbucci, Bruno Corbucci","['Franco Nero', 'Django', 'Loredana Nusciak', 'Maria', 'José Bódalo', 'Gen. Hugo Rodriguez', 'Angel Alvarez', 'Nathaniel', 'Edorardo Fajardo', 'Maj. Jackson', 'Gino Pernice', 'Brother Jonathan']",94%,83%,18, Western,https://www.rottentomatoes.com/m/django
3871,The Furnace 2020,"To escape a harsh existence and return home, a young cameleer partners with a mysterious bushman on the run with Crown-marked gold bars.", English (Australia), 1h 56m, Roderick Mackay," Roderick Mackay, Roderick MacKay","['David Wenham', 'Mal', 'Jay Ryan', 'Sergeant Shaw', 'Mahesh Jadu', 'Sadhu', 'Samson Coulter', 'Trooper Sam', 'Goran D. Kleut', 'Yates', 'Erik Thomson', 'Corporal Briggs']",90%,80%,20," Adventure, Drama, Western",https://www.rottentomatoes.com/m/the_furnace_2020
3872,Never Grow Old,A once-peaceful frontier town becomes a den of vice after vicious outlaw Dutch Albert and his gang arrive and begin gunning down their opposition. Undertaker Patrick Tate must now choose between the blood money he makes burying the murderers' victims and the threats he and his family face as the death toll continues to rise., English, 1h 40m, Ivan Kavanagh, Ivan Kavanagh,"['Emile Hirsch', 'Patrick Tate', 'John Cusack', 'Dutch Albert', 'Danny Webb', 'Preacher Pike', 'Antonia Campbell-Hughes', 'Maria Pike', 'Paul Ronan', 'Bill Crabtree', 'Déborah François', 'Audrey Tate']",90%,62%,21," Western, Action, Mystery & thriller",https://www.rottentomatoes.com/m/never_grow_old
3873,My Name Is Nobody,An anonymous gunfighter (Terence Hill) follows a retired outlaw (Henry Fonda) from Santa Fe to New Orleans for one last shootout., English, 1h 57m, Tonino Valerii, Ernesto Gastaldi,"['Henry Fonda', 'Jack Beauregard', 'Terence Hill', 'Nessuno, Nobody', 'Jean Martin', 'Sullivan', 'R. G. Armstrong', 'Honest John', 'Leo Gordon', 'Red', 'Steve Kanaly', 'False barber']",100%,84%,5, Western,https://www.rottentomatoes.com/m/my_name_is_nobody
3874,The-Left-Handed-Gun,"Volatile young gunfighter Billy the Kid (Paul Newman) works for kindly rancher Tunstall (Colin Keith-Johnston), and they develop an unbreakable bond. When Tunstall is murdered by a corrupt lawman and his cronies, a distraught Billy goes on a violent rampage through the New Mexico Territory. Billy finally guns down all the men who killed Tunstall -- but in the process he endangers the life of his old cohort, Pat Garrett (John Dehner), who doesn't take kindly to the Kid's erratic behavior.", English, 1h 42m, Arthur Penn," Leslie Stevens, Gore Vidal","['Paul Newman', 'Billy The Kid', 'Lita Milan', 'Celsa', 'John Dehner', 'Pat Garrett', 'Hurd Hatfield', 'Moultrie', 'James Congdon', 'Charlie Boudre', 'James Best', 'Tom Folliard']",85%,54%,13," Western, Crime, Drama",https://www.rottentomatoes.com/m/the-left-handed-gun
3875,Ride The High Country,"Reduced to transporting gold from a distant mine to a small-town bank, retired lawman Steve Judd (Joel McCrea) recruits friend Gil Westrum (Randolph Scott), who has been performing in a traveling carnival. Unknown to Steve, the restless Gil and a young drifter intend to steal the next gold transport. On the way, the men help Elsa Knudsen (Mariette Hartley) to break free from her zealot father and join her fiance at the mine, not realizing the consequences that await them all.", English, 1h 34m, Sam Peckinpah, N. B. Stone Jr.,"['Randolph Scott', 'Gil Westrum', 'Joel McCrea', 'Steve Judd', 'Mariette Hartley', 'Elsa Knudsen', 'Ron Starr', 'Heck Longtree', 'R. G. Armstrong', 'Joshua Knudsen', 'Edgar Buchanan', 'Judge Tolliver at Coarse Gold']",89%,83%,19, Western,https://www.rottentomatoes.com/m/ride_the_high_country
3876,The Great Silence 1968,"On an unforgiving, snow-swept frontier, a group of bloodthirsty bounty hunters, led by the vicious Loco, preys on a band of persecuted outlaws who have taken to the hills. As the price on each head is collected one-by-one, only a mute gunslinger named Silence stands between the innocent refugees and the greed and corruption that the bounty hunters represent. But in this harsh, brutal world, the lines between right and wrong aren't always clear and good doesn't always triumph.", Italian, 1h 45m, Sergio Corbucci, Sergio Corbucci,"['Jean-Louis Trintignant', 'Silence', 'Klaus Kinski', 'Tigrero', 'Frank Wolff', 'Sheriff Burnett', 'Luigi Pistilli', 'Pollicut', 'Vonetta McGee', 'Pauline', 'Mario Brega', 'Martin']",100%,90%,14, Western,https://www.rottentomatoes.com/m/the_great_silence_1968
3877,Blackthorn,"Leaving Bolivia and heading back to the U.S., the outlaw formerly known as Butch Cassidy (Sam Shepard) has a final adventure.", English, 1h 38m, Mateo Gil, Miguel Barros,"['Sam Shepard', 'James Blackthorn, Butch Cassidy', 'Eduardo Noriega', 'Eduardo', 'Stephen Rea', 'MacKinley', 'Magaly Solier', 'Yana', 'Nikolaj Coster-Waldau', 'Young Butch', 'Padraic Delaney', 'Young Sundance']",75%,61%,76," Western, Action, Adventure",https://www.rottentomatoes.com/m/blackthorn
